集計年,都道府県コード,都道府県名,産業大分類コード,産業大分類名,業種中分類コード,業種中分類名,年齢,所定内給与額（万円）,年間賞与その他特別給与額（万円）,一人当たり賃金（万円）
2021,01,北海道,E,製造業,09,食料品製造業,年齢計,22.52,52.46,322.7
2021,01,北海道,E,製造業,09,食料品製造業,～19歳,17.9,15.84,230.64
2021,01,北海道,E,製造業,09,食料品製造業,20～24歳,17.31,24.92,232.64
2021,01,北海道,E,製造業,09,食料品製造業,25～29歳,18.73,37.62,262.38
2021,01,北海道,E,製造業,09,食料品製造業,30～34歳,24.16,85.48,375.4
2021,01,北海道,E,製造業,09,食料品製造業,35～39歳,25.17,85.96,388
2021,01,北海道,E,製造業,09,食料品製造業,40～44歳,25.66,81.28,389.2
2021,01,北海道,E,製造業,09,食料品製造業,45～49歳,26.29,77.93,393.41
2021,01,北海道,E,製造業,09,食料品製造業,50～54歳,32.1,77.8,463
2021,01,北海道,E,製造業,09,食料品製造業,55～59歳,25.68,47.39,355.55
2021,01,北海道,E,製造業,09,食料品製造業,60～64歳,18.59,18.85,241.93
2021,01,北海道,E,製造業,09,食料品製造業,65～69歳,15.92,8,199.04
2021,01,北海道,E,製造業,09,食料品製造業,70歳～,15.23,2.68,185.44
2021,01,北海道,E,製造業,10,飲料・たばこ・飼料製造業,年齢計,28.69,87,431.28
2021,01,北海道,E,製造業,10,飲料・たばこ・飼料製造業,～19歳,15.9,44.75,235.55
2021,01,北海道,E,製造業,10,飲料・たばこ・飼料製造業,20～24歳,19.26,43.62,274.74
2021,01,北海道,E,製造業,10,飲料・たばこ・飼料製造業,25～29歳,21.84,53.7,315.78
2021,01,北海道,E,製造業,10,飲料・たばこ・飼料製造業,30～34歳,23.1,71.65,348.85
2021,01,北海道,E,製造業,10,飲料・たばこ・飼料製造業,35～39歳,28.97,118.26,465.9
2021,01,北海道,E,製造業,10,飲料・たばこ・飼料製造業,40～44歳,23.96,69.55,357.07
2021,01,北海道,E,製造業,10,飲料・たばこ・飼料製造業,45～49歳,29.36,88.01,440.33
2021,01,北海道,E,製造業,10,飲料・たばこ・飼料製造業,50～54歳,33.97,84.2,491.84
2021,01,北海道,E,製造業,10,飲料・たばこ・飼料製造業,55～59歳,36.01,131.5,563.62
2021,01,北海道,E,製造業,10,飲料・たばこ・飼料製造業,60～64歳,24.62,43.72,339.16
2021,01,北海道,E,製造業,10,飲料・たばこ・飼料製造業,65～69歳,19.71,0.89,237.41
2021,01,北海道,E,製造業,10,飲料・たばこ・飼料製造業,70歳～,23,83.5,359.5
2021,01,北海道,E,製造業,11,繊維工業,年齢計,17.03,11.7,216.06
2021,01,北海道,E,製造業,11,繊維工業,～19歳,15.88,3.25,193.81
2021,01,北海道,E,製造業,11,繊維工業,20～24歳,16.92,14.4,217.44
2021,01,北海道,E,製造業,11,繊維工業,25～29歳,17.73,19.62,232.38
2021,01,北海道,E,製造業,11,繊維工業,30～34歳,16.62,10.61,210.05
2021,01,北海道,E,製造業,11,繊維工業,35～39歳,16.7,7.84,208.24
2021,01,北海道,E,製造業,11,繊維工業,40～44歳,17.64,14.18,225.86
2021,01,北海道,E,製造業,11,繊維工業,45～49歳,18.88,18.73,245.29
2021,01,北海道,E,製造業,11,繊維工業,50～54歳,17.15,11.74,217.54
2021,01,北海道,E,製造業,11,繊維工業,55～59歳,16.52,13.15,211.39
2021,01,北海道,E,製造業,11,繊維工業,60～64歳,15.76,1.82,190.94
2021,01,北海道,E,製造業,11,繊維工業,65～69歳,15.59,1.67,188.75
2021,01,北海道,E,製造業,11,繊維工業,70歳～,16.75,2,203
2021,01,北海道,E,製造業,12,木材・木製品製造業（家具を除く）,年齢計,24.56,43.1,337.82
2021,01,北海道,E,製造業,12,木材・木製品製造業（家具を除く）,～19歳,17.99,1.38,217.26
2021,01,北海道,E,製造業,12,木材・木製品製造業（家具を除く）,20～24歳,18.8,17.91,243.51
2021,01,北海道,E,製造業,12,木材・木製品製造業（家具を除く）,25～29歳,18.01,27.87,243.99
2021,01,北海道,E,製造業,12,木材・木製品製造業（家具を除く）,30～34歳,23.94,33.77,321.05
2021,01,北海道,E,製造業,12,木材・木製品製造業（家具を除く）,35～39歳,24.79,43.17,340.65
2021,01,北海道,E,製造業,12,木材・木製品製造業（家具を除く）,40～44歳,27.82,56.23,390.07
2021,01,北海道,E,製造業,12,木材・木製品製造業（家具を除く）,45～49歳,26.97,58.04,381.68
2021,01,北海道,E,製造業,12,木材・木製品製造業（家具を除く）,50～54歳,23.24,54.37,333.25
2021,01,北海道,E,製造業,12,木材・木製品製造業（家具を除く）,55～59歳,28.51,48.63,390.75
2021,01,北海道,E,製造業,12,木材・木製品製造業（家具を除く）,60～64歳,25.63,36.84,344.4
2021,01,北海道,E,製造業,12,木材・木製品製造業（家具を除く）,65～69歳,19.84,28.49,266.57
2021,01,北海道,E,製造業,12,木材・木製品製造業（家具を除く）,70歳～,21.61,4.87,264.19
2021,01,北海道,E,製造業,13,家具・装備品製造業,年齢計,26.72,35.8,356.44
2021,01,北海道,E,製造業,13,家具・装備品製造業,～19歳,16.6,0,199.2
2021,01,北海道,E,製造業,13,家具・装備品製造業,20～24歳,17.2,5.66,212.06
2021,01,北海道,E,製造業,13,家具・装備品製造業,25～29歳,21.04,31.05,283.53
2021,01,北海道,E,製造業,13,家具・装備品製造業,30～34歳,27.01,56.47,380.59
2021,01,北海道,E,製造業,13,家具・装備品製造業,35～39歳,25.39,36.3,340.98
2021,01,北海道,E,製造業,13,家具・装備品製造業,40～44歳,26.17,43.92,357.96
2021,01,北海道,E,製造業,13,家具・装備品製造業,45～49歳,28.97,40.58,388.22
2021,01,北海道,E,製造業,13,家具・装備品製造業,50～54歳,30.7,48.73,417.13
2021,01,北海道,E,製造業,13,家具・装備品製造業,55～59歳,34.54,41.47,455.95
2021,01,北海道,E,製造業,13,家具・装備品製造業,60～64歳,26.77,40.77,362.01
2021,01,北海道,E,製造業,13,家具・装備品製造業,65～69歳,25,17.08,317.08
2021,01,北海道,E,製造業,13,家具・装備品製造業,70歳～,-,-,-
2021,01,北海道,E,製造業,14,パルプ・紙・紙加工品製造業,年齢計,28.68,119.4,463.56
2021,01,北海道,E,製造業,14,パルプ・紙・紙加工品製造業,～19歳,17.76,0,213.12
2021,01,北海道,E,製造業,14,パルプ・紙・紙加工品製造業,20～24歳,20.91,88.53,339.45
2021,01,北海道,E,製造業,14,パルプ・紙・紙加工品製造業,25～29歳,21.39,94.28,350.96
2021,01,北海道,E,製造業,14,パルプ・紙・紙加工品製造業,30～34歳,23.78,105.4,390.76
2021,01,北海道,E,製造業,14,パルプ・紙・紙加工品製造業,35～39歳,24.04,101.18,389.66
2021,01,北海道,E,製造業,14,パルプ・紙・紙加工品製造業,40～44歳,27.78,120.81,454.17
2021,01,北海道,E,製造業,14,パルプ・紙・紙加工品製造業,45～49歳,32.37,151.2,539.64
2021,01,北海道,E,製造業,14,パルプ・紙・紙加工品製造業,50～54歳,31.69,139.99,520.27
2021,01,北海道,E,製造業,14,パルプ・紙・紙加工品製造業,55～59歳,31.09,121.65,494.73
2021,01,北海道,E,製造業,14,パルプ・紙・紙加工品製造業,60～64歳,28.98,99.23,446.99
2021,01,北海道,E,製造業,14,パルプ・紙・紙加工品製造業,65～69歳,25.44,0.07,305.35
2021,01,北海道,E,製造業,14,パルプ・紙・紙加工品製造業,70歳～,45.73,60.34,609.1
2021,01,北海道,E,製造業,15,印刷・同関連業,年齢計,25.18,37.22,339.38
2021,01,北海道,E,製造業,15,印刷・同関連業,～19歳,16.89,5.02,207.7
2021,01,北海道,E,製造業,15,印刷・同関連業,20～24歳,17.81,21.27,234.99
2021,01,北海道,E,製造業,15,印刷・同関連業,25～29歳,20.93,31.2,282.36
2021,01,北海道,E,製造業,15,印刷・同関連業,30～34歳,21.03,35.51,287.87
2021,01,北海道,E,製造業,15,印刷・同関連業,35～39歳,22.85,38.94,313.14
2021,01,北海道,E,製造業,15,印刷・同関連業,40～44歳,26.1,43.12,356.32
2021,01,北海道,E,製造業,15,印刷・同関連業,45～49歳,24.66,42.1,338.02
2021,01,北海道,E,製造業,15,印刷・同関連業,50～54歳,30.78,46.77,416.13
2021,01,北海道,E,製造業,15,印刷・同関連業,55～59歳,29.28,29.81,381.17
2021,01,北海道,E,製造業,15,印刷・同関連業,60～64歳,20.25,19.13,262.13
2021,01,北海道,E,製造業,15,印刷・同関連業,65～69歳,19.53,28.84,263.2
2021,01,北海道,E,製造業,15,印刷・同関連業,70歳～,15.85,0,190.2
2021,01,北海道,E,製造業,16,化学工業,年齢計,35.22,142.19,564.83
2021,01,北海道,E,製造業,16,化学工業,～19歳,19.11,45.82,275.14
2021,01,北海道,E,製造業,16,化学工業,20～24歳,21.36,90.07,346.39
2021,01,北海道,E,製造業,16,化学工業,25～29歳,26.14,131.9,445.58
2021,01,北海道,E,製造業,16,化学工業,30～34歳,28.8,109.62,455.22
2021,01,北海道,E,製造業,16,化学工業,35～39歳,35.09,143.24,564.32
2021,01,北海道,E,製造業,16,化学工業,40～44歳,37.28,183.83,631.19
2021,01,北海道,E,製造業,16,化学工業,45～49歳,40.06,166.25,646.97
2021,01,北海道,E,製造業,16,化学工業,50～54歳,45.06,179.05,719.77
2021,01,北海道,E,製造業,16,化学工業,55～59歳,44.15,166.29,696.09
2021,01,北海道,E,製造業,16,化学工業,60～64歳,31.94,76.43,459.71
2021,01,北海道,E,製造業,16,化学工業,65～69歳,21.53,34,292.36
2021,01,北海道,E,製造業,16,化学工業,70歳～,-,-,-
2021,01,北海道,E,製造業,18,プラスチック製品製造業（別掲を除く）,年齢計,30.48,119.76,485.52
2021,01,北海道,E,製造業,18,プラスチック製品製造業（別掲を除く）,～19歳,18.29,0,219.48
2021,01,北海道,E,製造業,18,プラスチック製品製造業（別掲を除く）,20～24歳,18.85,56.36,282.56
2021,01,北海道,E,製造業,18,プラスチック製品製造業（別掲を除く）,25～29歳,23.63,106.4,389.96
2021,01,北海道,E,製造業,18,プラスチック製品製造業（別掲を除く）,30～34歳,22.14,31.05,296.73
2021,01,北海道,E,製造業,18,プラスチック製品製造業（別掲を除く）,35～39歳,24.5,70.52,364.52
2021,01,北海道,E,製造業,18,プラスチック製品製造業（別掲を除く）,40～44歳,28,96.47,432.47
2021,01,北海道,E,製造業,18,プラスチック製品製造業（別掲を除く）,45～49歳,40.21,176.96,659.48
2021,01,北海道,E,製造業,18,プラスチック製品製造業（別掲を除く）,50～54歳,35.72,160.89,589.53
2021,01,北海道,E,製造業,18,プラスチック製品製造業（別掲を除く）,55～59歳,40.54,193.89,680.37
2021,01,北海道,E,製造業,18,プラスチック製品製造業（別掲を除く）,60～64歳,18.61,29.53,252.85
2021,01,北海道,E,製造業,18,プラスチック製品製造業（別掲を除く）,65～69歳,15.68,27.52,215.68
2021,01,北海道,E,製造業,18,プラスチック製品製造業（別掲を除く）,70歳～,14.84,7,185.08
2021,01,北海道,E,製造業,19,ゴム製品製造業,年齢計,25.04,48.71,349.19
2021,01,北海道,E,製造業,19,ゴム製品製造業,～19歳,-,-,-
2021,01,北海道,E,製造業,19,ゴム製品製造業,20～24歳,19.3,13.45,245.05
2021,01,北海道,E,製造業,19,ゴム製品製造業,25～29歳,20.46,23.42,268.94
2021,01,北海道,E,製造業,19,ゴム製品製造業,30～34歳,21.53,58.33,316.69
2021,01,北海道,E,製造業,19,ゴム製品製造業,35～39歳,23.34,53.15,333.23
2021,01,北海道,E,製造業,19,ゴム製品製造業,40～44歳,27.45,61.96,391.36
2021,01,北海道,E,製造業,19,ゴム製品製造業,45～49歳,32.27,79.46,466.7
